,yearsActive,activeYearsStartYear,activeYearsEndYear
Chick_Corea,1962,1962,2021
Don_Pullen,1964,1964,1995
Bonnie_Raitt,1971,1971,2022
Bobby_Watson,1970,1970,2022
Ed_Cherney,,,
Solomon_Ilori,1958,1958,2022
Darren_Barrett,1991,1991,2022
Hank_Mobley,1949,1949,1986
Percy_Heath,,,
Lewis_Nash,1982,1982,2022
Oliver_Nelson,,,
Richard_Ashcroft,1990,1990,2022
Blue_Mitchell,"1952, 1979",1952,1979
Joey_Calderazzo,1979,1979,2022
Dayna_Stephens,2000,2000,2022
Grover_Washington_Jr.,1967,1967,1999
Willie_Jones_III,1990,1990,2022
Anton_Kwiatkowski,1969,1969,2022
Wycliffe_Gordon,,,
John_Mayer_Trio,2005,2005,2022
Vincent_Herring,1982,1982,2022
Camille_Thurman,2008,2008,2022
Roman_Miroshnichenko,1994,1994,2022
Aaron_Goldberg,1995,1995,2022
John_Mayer,1998,1998,2022
Vanessa_Rubin,1980,1980,2022
Nat_Adderley,,,
Dr._John,1950,1950,2019
Paul_Chambers,1954,1954,1969
Stevie_Wonder,1961,1961,2022
Billy_Taylor,1944,1944,2010
Tommy_Campbell_(musician),,,
Clark_Terry,1940,1940,2015
Wessell_Anderson,1980,1980,2022
George_Mraz,,,
Rickey_Minor,1985,1985,2022
Andrew_Hill_(jazz_musician),1954,1954,2007
Robert_Stewart_(saxophonist),1986,1986,2022
Art_Pepper,1946,1946,1982
Carla_Bley,1960,1960,2022
Donald_Brown_(musician),1972,1972,2020
Reuben_Rogers,1992,1992,2022
Yusef_Lateef,1955,1955,2013
Eric_Lewis_(pianist),1995,1995,2022
Wallace_Roney,1975,1975,2020
Herbie_Hancock,1961,1961,2022
John_Scofield,1970,1970,2022
Johnny_Griffin,1940,1940,2008
Branford_Marsalis,1980,1980,2022
Bobby_Timmons,-1970,1950,1970
Don_Henley,1970,1970,2022
Magos_Herrera,1997,1997,2022
Billy_Higgins,,,
Bob_Dylan,1961,1961,2022
Sean_Jones_(trumpeter),2002,2002,2022
Bee_Gees,"1958 ,1970 ,2006 ,2009   ",1958,1969
Jason_Marsalis,,,
Bill_Graham_(musician),-1960,1940,1960
Raphael_Saadiq,1983,1983,2022
Justin_Kauflin,2001,2001,2022
J._J._Johnson,1942,1942,1996
Keith_Jarrett,1966,1966,2018
Bill_Dowdy,-1970,1949,1970
Philip_Harper_(trumpeter),1990,1990,2022
Ron_Carter,1960,1960,2022
Ben_Wendel,,,
Curtis_Fuller,1953,1953,2021
Bob_Brookmeyer,,,
Erica_von_Kleist,,,
Johnny_Helms,2000,1950,2000
Hugh_Masekela,1956,1956,2018
Paul_Murphy_(musician),,,
Marcus_Strickland,1997,1997,2022
Stanley_Turrentine,1959,1959,2000
Radovan_Tariska,,,
Booker_Little,1956,1956,1961
Mary_J._Blige,1988,1988,2022
Thelonious_Monk,1940,1940,1973
Wynton_Marsalis,1980,1980,2022
Roger_Ingram,1972,1972,2022
John_Gilmore_(musician),1952,1952,1995
Hans_Dulfer,1957,1957,2022
Iggy_Pop,1960,1960,2022
Charles_Williams_(musician),1971,1971,1997
Javon_Jackson,,,
Zach_Brock,,,
Marcus_Roberts,1980,1980,2022
Miles_Davis,"1944 ,1980   ",1944,1975
Milt_Hinton,-1990,1920,1990
Pino_Palladino,1974,1974,2022
Kurt_Rosenwinkel,1990,1990,2022
Ambrose_Akinmusire,2000,2000,2022
Darcy_James_Argue,2005,2005,2022
Arturo_O'Farrill,1979,1979,2022
Ximo_Tebar,,,
Maurice_Hines,1954,1954,2022
Cedar_Walton,,,
The_Rolling_Stones,1962,1962,2022
Jean_Toussaint,1982,1982,2022
Robert_Hurst_(musician),1980,1980,2022
Pharoah_Sanders,1964,1964,2022
Woody_Shaw,1963,1963,1989
Ali_Jackson_(jazz_drummer),,,
Lalo_Schifrin,1950,1950,2022
Joe_Temperley,1950,1950,2015
Mark_Turner_(musician),1990,1990,2022
Sherrie_Maricle,,,
Sullivan_Fortner,2000,2000,2022
Yacub_Addy,1956,1956,1956
Charles_Lloyd_(jazz_musician),1959,1959,2022
Chalmers_Alford,1960,1960,2008
Thomas_Clausen_(musician),,,
The_Soultronics,"2000, 2002",2000,2000
Toots_Thielemans,1949,1949,2014
Fred_Wesley,1960,1960,2022
SFJAZZ_Collective,,2004,2022
Herlin_Riley,1984,1984,2022
Gerald_Clayton,,,
Jacky_Terrasson,1990,1990,2022
Cameron_Brown_(musician),,,
Roger_Humphries,,,
Harry_Connick_Jr.,1977,1977,2022
Milt_Jackson,,,
Ellis_Marsalis_Jr.,1949,1949,2020
Damion_Reid,,,
Ali_Shaheed_Muhammad,1985,1985,2022
Grant_Green,"1959, 1978",1959,1978
D'Angelo,1991,1991,2022
Bud_Powell,1944,1944,1965
Joss_Stone,2001,2001,2022
