,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Chalmers Alford,0,0,0,0,0,1,1,1,1,1,0,0
Thomas Clausen (musician),0,0,0,0,0,0,0,0,0,0,0,0
The Soultronics,0,0,0,0,0,0,0,0,0,1,0,0
Toots Thielemans,0,0,0,1,1,1,1,1,1,1,1,0
Fred Wesley,0,0,0,0,0,1,1,1,1,1,1,1
SFJAZZ Collective,0,0,0,0,0,0,0,0,0,1,1,1
Herlin Riley,0,0,0,0,0,0,0,1,1,1,1,1
Gerald Clayton,0,0,0,0,0,0,0,0,0,0,0,0
Jacky Terrasson,0,0,0,0,0,0,0,0,1,1,1,1
Cameron Brown (musician),0,0,0,0,0,0,0,0,0,0,0,0
Roger Humphries,0,0,0,0,0,0,0,0,0,0,0,0
Harry Connick Jr.,0,0,0,0,0,0,1,1,1,1,1,1
Milt Jackson,0,0,0,0,0,0,0,0,0,0,0,0
Ellis Marsalis Jr.,0,0,0,1,1,1,1,1,1,1,1,1
Damion Reid,0,0,0,0,0,0,0,0,0,0,0,0
Ali Shaheed Muhammad,0,0,0,0,0,0,0,1,1,1,1,1
Grant Green,0,0,0,0,1,1,1,0,0,0,0,0
D'Angelo,0,0,0,0,0,0,0,0,1,1,1,1
Bud Powell,0,0,0,1,1,1,0,0,0,0,0,0
Joss Stone,0,0,0,0,0,0,0,0,0,1,1,1
