,composer,singer,drummer,pianist,saxophonist,bassist,songwriter,trumpeter,guitarist,producer,vocalist,percussionist,horn,keyboardist,trombonist,flute
Ron Carter,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Ben Wendel,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Curtis Fuller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bob Brookmeyer,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Erica von Kleist,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Johnny Helms,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hugh Masekela,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Paul Murphy (musician),1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Marcus Strickland,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Stanley Turrentine,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Radovan Tariska,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Booker Little,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mary J. Blige,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Thelonious Monk,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Wynton Marsalis,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Roger Ingram,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
John Gilmore (musician),0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0
Hans Dulfer,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Iggy Pop,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Charles Williams (musician),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Javon Jackson,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Zach Brock,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Roberts,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Miles Davis,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0
Milt Hinton,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pino Palladino,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
Kurt Rosenwinkel,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ambrose Akinmusire,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Darcy James Argue,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Arturo O'Farrill,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ximo Tebar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Maurice Hines,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar Walton,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Rolling Stones,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
Jean Toussaint,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Robert Hurst (musician),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Pharoah Sanders,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Woody Shaw,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Ali Jackson (jazz drummer),1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
Lalo Schifrin,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Joe Temperley,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Mark Turner (musician),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sherrie Maricle,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Sullivan Fortner,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Yacub Addy,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Charles Lloyd (jazz musician),0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
Chalmers Alford,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Thomas Clausen (musician),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Soultronics,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
Toots Thielemans,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Fred Wesley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SFJAZZ Collective,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Herlin Riley,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Gerald Clayton,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jacky Terrasson,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cameron Brown (musician),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Roger Humphries,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Connick Jr.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Milt Jackson,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ellis Marsalis Jr.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Damion Reid,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Shaheed Muhammad,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
Grant Green,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
D'Angelo,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0
Bud Powell,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Joss Stone,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
