"","word","n"
"595","to as the",3
"596","to be a",3
"597","to study with",3
"598","to top the",3
"599","toured and recorded",3
"600","uk albums chart",3
"601","uk number one",3
"602","uk singles chart",3
"603","university of new",3
"604","until his death",3
"605","was also a",3
"606","was born on",3
"607","was the only",3
"608","well as a",3
"609","well as his",3
"610","well as the",3
"611","were inducted into",3
"612","wes montgomery and",3
"613","what's the 411",3
"614","white blood cells",3
"615","who initially joined",3
"616","wide range of",3
"617","with his own",3
"618","with max roach",3
"619","with other artists",3
"620","with the jazz",3
"621","won three grammy",3
"622","york city in",3
"623","you go away",3
"624","1 hits on",2
"625","10 on billboard",2
"626","100 greatest singers",2
"627","100 million records",2
"628","15 1932 may",2
"629","15 1957 is",2
"630","15 november 1974",2
"631","18 2014 was",2
"632","18 grammy awards",2
"633","1932 is an",2
"634","1936 is an",2
"635","1940 is an",2
"636","1942 is an",2
"637","1944 is an",2
"638","1949 is a",2
"639","1950s as a",2
"640","1951 known as",2
"641","1954 is an",2
"642","1956 is an",2
"643","1957 is a",2
"644","1960 is a",2
"645","1960s and early",2
"646","1963 is an",2
"647","1965 is a",2
"648","1966 is an",2
"649","1970 is a",2
"650","1970 is an",2
"651","1970s he was",2
"652","1971 is an",2
"653","1972 was an",2
"654","1972 with the",2
"655","1974 was an",2
"656","1975 he switched",2
"657","1975 was an",2
"658","1977 is an",2
"659","1980s and 1990s",2
"660","1982 was an",2
"661","1990s and 2000s",2
"662","1991 was an",2
"663","1993 was an",2
"664","1994 ali was",2
"665","1995 was an",2
"666","1997 he has",2
"667","1998 was an",2
"668","1999 was an",2
"669","1st prize of",2
"670","2001 was an",2
"671","2004 was an",2
"672","2005 he was",2
"673","2007 grammy award",2
"674","2008 he was",2
"675","2009 he was",2
"676","2014 was an",2
"677","2016 was a",2
"678","2017 he was",2
"679","2019 he received",2
"680","2019 was an",2
"681","2021 was an",2
"682","25 grammy awards",2
"683","27 1965 is",2
"684","28 may 1940",2
"685","4 1977 is",2
"686","6 february 2011",2
"687","a bandleader and",2
"688","a child prodigy",2
"689","a collaboration with",2
"690","a danish jazz",2
"691","a dozen albums",2
"692","a five time",2
"693","a five year",2
"694","a founding member",2
"695","a full academic",2
"696","a golden globe",2
"697","a grammy lifetime",2
"698","a jazz drummer",2
"699","a jazz musician",2
"700","a jazz pianist",2
"701","a jazz saxophonist",2
"702","a leader and",2
"703","a live album",2
"704","a love supreme",2
"705","a major figure",2
"706","a music major",2
"707","a number one",2
"708","a pioneer of",2
"709","a professor at",2
"710","a program with",2
"711","a range of",2
"712","a return to",2
"713","a rich legacy",2
"714","a sideman for",2
"715","a south african",2
"716","a tribe called",2
"717","a united nations",2
"718","a young age",2
"719","academic scholarship earning",2
"720","achievement award in",2
"721","active as a",2
"722","addition to his",2
"723","advisory board of",2
"724","afro cuban jazz",2
"725","after graduating he",2
"726","after leaving blakey",2
"727","age of 11",2
"728","al grey and",2
"729","album as well",2
"730","album in the",2
"731","album raw power",2
"732","album try in",2
"733","albums have sold",2
"734","albums of all",2
"735","albums under his",2
"736","albums with the",2
"737","ali graduated as",2
"738","ali shaheed muhammad",2
"739","ali was also",2
"740","ali was selected",2
"741","all time clapton",2
"742","all time he",2
"743","all time in",2
"744","alma mater berklee",2
"745","also known for",2
"746","also the first",2
"747","also won best",2
"748","also worked as",2
"749","alto and tenor",2
"750","american avant garde",2
"751","american blues singer",2
"752","american hip hop",2
"753","american jazz alto",2
"754","american jazz composer",2
"755","american jazz ensemble",2
"756","american jazz vibraphonist",2
"757","american music awards",2
"758","american musician singer",2
"759","american saxophonist composer",2
"760","american to be",2
"761","american trumpeter and",2
"762","an american avant",2
"763","an american composer",2
"764","an american drummer",2
"765","an american hip",2
"766","an english musician",2
"767","an english singer",2
"768","an important figure",2
"769","an influence on",2
"770","an undergraduate degree",2
"771","and a grammy",2
"772","and a member",2
"773","and actress she",2
"774","and an academy",2
"775","and artistic director",2
"776","and bandleader he",2
"777","and bandleader his",2
"778","and charles mingus",2
"779","and classical music",2
"780","and composer in",2
"781","and composer recording",2
"782","and composer whose",2
"783","and composers and",2
"784","and drummer eric",2
"785","and early 1970s",2
"786","and educator she",2
"787","and elvin jones",2
"788","and eric clapton",2
"789","and fellow musicians",2
"790","and flute he",2
"791","and gained a",2
"792","and george benson",2
"793","and guitarist john",2
"794","and hard bop",2
"795","and has also",2
"796","and has collaborated",2
"797","and has played",2
"798","and he was",2
"799","and his solo",2
"800","and in the",2
"801","and included the",2
"802","and is a",2
"803","and is one",2
"804","and jazz aspen",2
"805","and jazz festivals",2
"806","and jazz fusion",2
"807","and many others",2
"808","and member of",2
"809","and miles davis",2
"810","and modern jazz",2
"811","and most influential",2
"812","and music educator",2
"813","and performed with",2
"814","and pop music",2
"815","and recorded the",2
"816","and released a",2
"817","and rhythm and",2
"818","and roll the",2
"819","and roy hargrove",2
"820","and sideman for",2
"821","and singer he",2
"822","and spawned the",2
"823","and talented musicians",2
"824","and tenor saxophonist",2
"825","and the abstract",2
"826","and the album",2
"827","and the best",2
"828","and the uk",2
"829","and thelonious monk",2
"830","and to the",2
"831","and uri caine",2
"832","and use of",2
"833","and was awarded",2
"834","and was described",2
"835","and was one",2
"836","and wynton marsalis",2
"837","annual jazz aspen",2
"838","appearance at the",2
"839","appeared in the",2
"840","appearing on the",2
"841","are a changin",2
"842","arranger and conductor",2
"843","artist award in",2
"844","artist henley has",2
"845","artist of the",2
"846","artists in the",2
"847","artserv emerging artist",2
"848","as a bassist",2
"849","as a music",2
"850","as a performer",2
"851","as a pioneer",2
"852","as a result",2
"853","as a session",2
"854","as a singer",2
"855","as a songwriter",2
"856","as a student",2
"857","as joss stone",2
"858","as leader and",2
"859","as musical director",2
"860","as probably the",2
"861","as the best",2
"862","as the guest",2
"863","as the second",2
"864","aspen for gifted",2
"865","aspen selected him",2
"866","at a young",2
"867","at its peak",2
"868","at music venues",2
"869","at northwestern university",2
"870","at number one",2
"871","at ridgemont high",2
"872","at the forefront",2
"873","at the john",2
"874","at the newport",2
"875","at the village",2
"876","attended college on",2
"877","attention in the",2
"878","award for album",2
"879","award from the",2
"880","award he is",2
"881","award in 1998",2
"882","awarded the polar",2
"883","awards and one",2
"884","awards and two",2
"885","awards as well",2
"886","awards in july",2
"887","back and stay",2
"888","backing band for",2
"889","band formed in",2
"890","band leader and",2
"891","band led by",2
"892","band on the",2
"893","bandleader and educator",2
"894","bandleader composer and",2
"895","based in new",2
"896","bassist pino palladino",2
"897","be one of",2
"898","beacons of jazz",2
"899","beat jazz hall",2
"900","bebop and avant",2
"901","bebop and modern",2
"902","bebop hard bop",2
"903","became interested in",2
"904","became known as",2
"905","became the first",2
"906","bee gees have",2
"907","bee gees with",2
"908","been a member",2
"909","been cited as",2
"910","before his death",2
"911","before returning to",2
"912","began his solo",2
"913","began in the",2
"914","began playing drums",2
"915","began touring with",2
"916","best british male",2
"917","best is yet",2
"918","best male pop",2
"919","best of jackson",2
"920","bienen school of",2
"921","big band he",2
"922","big band in",2
"923","big bands of",2
"924","billboard 200 and",2
"925","blige as the",2
"926","blood cells also",2
"927","blowin in the",2
"928","blue note label",2
"929","blues and the",2
"930","blues rock band",2
"931","body of work",2
"932","bop jazz pianist",2
"933","born american jazz",2
"934","born january 25",2
"935","born june 16",2
"936","born june 4",2
"937","born march 14",2
"938","born march 28",2
"939","born may 13",2
"940","born may 29",2
"941","born october 18",2
"942","born october 9",2
"943","born september 11",2
"944","both of which",2
"945","breath you take",2
"946","brit awards and",2
"947","brooklyn new york",2
"948","brother of saxophonist",2
"949","bud powell and",2
"950","by many other",2
"951","by the national",2
"952","by the riaa",2
"953","california los angeles",2
"954","canadian jazz pianist",2
"955","career began in",2
"956","cells also called",2
"957","center orchestra and",2
"958","chair of the",2
"959","chairman of the",2
"960","chamber music society",2
"961","charlie parker and",2
"962","chart and spawned",2
"963","city he was",2
"964","clayton brothers quintet",2
"965","clouds of joy",2
"966","co produced by",2
"967","coast hip hop",2
"968","college on a",2
"969","combined with the",2
"970","come back and",2
"971","commercial success of",2
"972","composed more than",2
"973","composer and record",2
"974","composer arranger and",2
"975","composer educator and",2
"976","composer he is",2
"977","composer pianist and",2
"978","composers and the",2
"979","composition in 1994",2
"980","connick jr and",2
"981","connick jr en",2
"982","consecutive no 1",2
"983","considered among the",2
"984","considered to be",2
"985","consistently producing the",2
"986","continued to release",2
"987","continued touring and",2
"988","contributed to the",2
"989","contributing to the",2
"990","contribution to british",2
"991","country top musicians",2
"992","critic robert christgau",2
"993","critical acclaim and",2
"994","critical and commercial",2
"995","critical praise and",2
"996","critics poll for",2
"997","currently lives in",2
"998","death in 1991",2
"999","debut album in",2
"1000","debut solo album",2
"1001","degree in music",2
"1002","described as the",2
"1003","described by critic",2
"1004","detroit international jazz",2
"1005","dizzy gillespie and",2
"1006","dizzy gillespie in",2
"1007","doctorate of music",2
"1008","double bass player",2
"1009","double bassist and",2
"1010","down beat jazz",2
"1011","downbeat hall of",2
"1012","drive by shooting",2
"1013","drummer art blakey",2
"1014","drummer art blakey's",2
"1015","drummer eric harland",2
"1016","drummer he has",2
"1017","drummer he played",2
"1018","drummer max roach",2
"1019","drummer tony williams",2
"1020","drums at a",2
"1021","drums at the",2
"1022","duke ellington orchestra",2
"1023","during the 1950s",2
"1024","during the mid",2
"1025","dutch jazz musician",2
"1026","dylan has been",2
"1027","each of which",2
"1028","early 1970s and",2
"1029","earning an undergraduate",2
"1030","electric guitar players",2
"1031","elements of rock",2
"1032","elew rockjazz vol",2
"1033","elvin jones he",2
"1034","embarked on a",2
"1035","emerging artist award",2
"1036","endowment for the",2
"1037","engineer and record",2
"1038","english musician singer",2
"1039","era in the",2
"1040","every breath you",2
"1041","fame as a",2
"1042","fame in 1998",2
"1043","fast times at",2
"1044","festivals such as",2
"1045","fifth studio album",2
"1046","first annual jazz",2
"1047","first two albums",2
"1048","first year of",2
"1049","five grammy awards",2
"1050","five studio albums",2
"1051","for a few",2
"1052","for a short",2
"1053","for an academy",2
"1054","for best new",2
"1055","for every breath",2
"1056","for gifted and",2
"1057","for his contributions",2
"1058","for his long",2
"1059","for introducing the",2
"1060","for lifetime achievement",2
"1061","for most of",2
"1062","for my father",2
"1063","for services to",2
"1064","for the 2013",2
"1065","for the arts",2
"1066","for the beacons",2
"1067","for their confrontational",2
"1068","formation of the",2
"1069","formed his own",2
"1070","founding member of",2
"1071","four grammy awards",2
"1072","francisco bay area",2
"1073","free jazz and",2
"1074","free jazz movement",2
"1075","from 1987 until",2
"1076","from 2000 to",2
"1077","from 2010 to",2
"1078","from blues rock",2
"1079","from detroit prestigious",2
"1080","from his early",2
"1081","from the 1980s",2
"1082","from the early",2
"1083","frontman of the",2
"1084","full academic scholarship",2
"1085","gangsta rap was",2
"1086","gifted and talented",2
"1087","go away and",2
"1088","golden globe award",2
"1089","got the blues",2
"1090","graduated as a",2
"1091","grammy award nominations",2
"1092","grammy award winner",2
"1093","grammy awards a",2
"1094","grammy awards as",2
"1095","grammy awards for",2
"1096","grammy awards he",2
"1097","grammy awards including",2
"1098","grammy awards the",2
"1099","grammy awards winning",2
"1100","grammy hall of",2
"1101","greatest jazz trumpeters",2
"1102","greatest singers of",2
"1103","greatest songwriters of",2
"1104","green lionel hampton",2
"1105","grover washington jr",2
"1106","guest soloist for",2
"1107","guitarist of the",2
"1108","half of the",2
"1109","hank jones and",2
"1110","hard bop style",2
"1111","hard rock heavy",2
"1112","has also produced",2
"1113","has been called",2
"1114","has been cited",2
"1115","has been described",2
"1116","has been on",2
"1117","has been referred",2
"1118","has composed more",2
"1119","has led the",2
"1120","has performed and",2
"1121","has performed at",2
"1122","has received numerous",2
"1123","has recorded and",2
"1124","has recorded over",2
"1125","has sold more",2
"1126","he achieved a",2
"1127","he also recorded",2
"1128","he also worked",2
"1129","he attended college",2
"1130","he continued to",2
"1131","he developed a",2
"1132","he eventually became",2
"1133","he formed his",2
"1134","he had made",2
"1135","he has collaborated",2
"1136","he has composed",2
"1137","he has toured",2
"1138","he is known",2
"1139","he is often",2
"1140","he joined the",2
"1141","he later worked",2
"1142","he led the",2
"1143","he often performed",2
"1144","he performed in",2
"1145","he played a",2
"1146","he played trumpet",2
"1147","he received an",2
"1148","he recorded his",2
"1149","he recorded the",2
"1150","he released the",2
"1151","he released two",2
"1152","he rose to",2
"1153","he switched to",2
"1154","he was briefly",2
"1155","he was featured",2
"1156","he was known",2
"1157","he was made",2
"1158","he was one",2
"1159","he was part",2
"1160","he was privileged",2
"1161","he won the",2
"1162","he worked as",2
"1163","heavily involved in",2
